_unit_id,airline_sentiment,text
681448213,negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
681448214,neutral,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
681448218,negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems _��"
681448221,neutral,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
681448223,negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
681448225,negative,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
681448228,positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
681448230,neutral,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
681448235,positive,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. _��ω�� #MoodlitMonday
681448239,positive,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
681448241,neutral,@VirginAmerica when can I book my flight to Hawaii??
681448243,negative,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
681448245,positive,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
681448247,negative,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
681448249,neutral,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt
681448251,neutral,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
681448254,neutral,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
681448256,positive,@VirginAmerica I'm #elevategold for a good reason: you rock!!
681448258,neutral,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
681448260,positive,@VirginAmerica wow this just blew my mind
681448262,neutral,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
681448264,neutral,@VirginAmerica @ladygaga @carrieunderwood All were entertaining
681448265,neutral,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
681448267,positive,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
681448269,neutral,@VirginAmerica wish you flew out of Atlanta... Soon?
681448271,neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
681448273,neutral,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
681448275,negative,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt
681448278,positive,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
681448280,positive,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! _��_
681448282,neutral,@VirginAmerica @ladygaga @carrieunderwood - Carrie!
681448284,neutral,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
681448288,neutral,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
681448290,negative,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
681448292,neutral,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood _��_���"
681448295,neutral,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
681448297,positive,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
681448299,neutral,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
681448302,negative,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
681448303,negative,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
681448306,positive,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
681448308,negative,@VirginAmerica everything was fine until you lost my bag
681448310,neutral,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
681448312,neutral,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
681448314,neutral,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
681448317,negative,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
681448319,positive,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
681448320,positive,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
681448321,neutral,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
681448322,neutral,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
681448324,negative,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
681448326,neutral,@VirginAmerica what happened to Doom?!
681448329,negative,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
681448331,positive,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
681448334,negative,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
681448336,negative,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
681448338,negative,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
681448340,negative,@VirginAmerica I�۪m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
681448342,neutral,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code
681448345,neutral,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
681448347,neutral,@VirginAmerica I &lt
681448349,negative,@VirginAmerica Why is the site down?  When will it be back up?
681448353,neutral,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
681448355,neutral,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
681448358,negative,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
681448360,negative,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
681448362,neutral,@VirginAmerica why is flight 345 redirected?
681448364,negative,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
681448366,negative,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
681448369,negative,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
681448371,negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
681448373,negative,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
681448376,neutral,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM
681448377,negative,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
681448379,neutral,@VirginAmerica check out new music http://t.co/maRcnOCWzn
681448382,negative,@virginamerica how's a direct flight FLL-&gt
681448383,negative,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
681448385,positive,"@VirginAmerica - amazing customer  service, again! _�ե_�ե RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
681448387,negative,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
681448389,negative,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
681448391,neutral,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
681448393,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
681448395,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
681448397,positive,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
681448400,neutral,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
681448402,positive,@VirginAmerica Have a great week _��_���
681448404,positive,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
681448406,negative,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
681448408,positive,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
681448410,positive,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
681448413,positive,@VirginAmerica your beautiful front-end design is down right now
681448415,positive,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
681448419,negative,@VirginAmerica Use another browser! 2015 &amp
681448421,negative,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
681448423,negative,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
681448426,positive,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
681448429,positive,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
681448431,neutral,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
681448432,negative,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
681448433,positive,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
681448435,neutral,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt
681448437,neutral,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
681448440,negative,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
681448442,negative,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
681448444,neutral,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
681448446,negative,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
681448448,negative,@VirginAmerica Another delayed flight? #likingyoulessandless
681448451,negative,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt
681448453,positive,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
681448455,neutral,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
681448457,positive,@VirginAmerica always!!! Xoxo
681448459,negative,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
681448461,negative,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
681448464,positive,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
681448466,neutral,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service _���
681448468,negative,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
681448470,positive,@VirginAmerica you have amazing staff &amp
681448471,negative,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
681448474,negative,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
681448476,positive,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
681448478,positive,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
681448480,negative,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
681448484,negative,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
681448487,neutral,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
681448488,positive,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy 
681448489,neutral,@VirginAmerica is your website ever coming back online?
681448491,neutral,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
681448496,neutral,@VirginAmerica Is flight 0769 out of LGA to DFW on time?
681448498,neutral,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
681448500,negative,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
681448502,negative,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
681448504,negative,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
681448506,negative,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
681448509,negative,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
681448511,negative,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
681448513,negative,@VirginAmerica is the website down?
681448515,negative,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
681448517,negative,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
681448520,neutral,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
681448522,negative,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
681448524,negative,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
681448527,neutral,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
681448529,neutral,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
681448531,neutral,@VirginAmerica Lister to my show my on Monday 1230 130
681448533,neutral,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
681448535,negative,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
681448538,negative,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
681448540,neutral,@VirginAmerica I'd love to know what your policy is for damaged luggage.
681448542,positive,@VirginAmerica Thank you for the follow
681448543,negative,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
681448545,negative,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
681448547,neutral,@VirginAmerica @TTINAC11 I DM you
681448551,neutral,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas _��_��_
681448553,negative,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
681448555,negative,@VirginAmerica Flight from BOS &gt
681448558,positive,_��_ RT @VirginAmerica: You�۪ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
681448560,positive,@VirginAmerica Only way to fly! #Elevate #Gold
681448562,neutral,@VirginAmerica If only you guys had flights from CMH.
681448564,negative,"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
681448566,negative,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
681448568,neutral,@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
681448570,positive,@VirginAmerica you will match my #AmericanAirlines status? Cool!
681448572,neutral,���@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy�۝ @asarco_ES_ar ? _٪�
681448574,negative,@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
681448576,negative,@VirginAmerica you suck!
681448578,positive,@VirginAmerica thanks!
681448580,negative,@VirginAmerica Just DM'd. Same issue persisting.
681448583,negative,@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
681448585,negative,@VirginAmerica trying to book a flight &amp
681448587,negative,@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
681448589,negative,@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
681448591,positive,@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
681448594,negative,@VirginAmerica Your website is down and I'm trying to check in!
681448597,positive,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
681448598,neutral,@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
681448600,positive,@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
681448602,positive,@VirginAmerica Keep up the great work :)
681448604,positive,@VirginAmerica my goodness your people @love field are amazing under pressure ��_��from Texas #beatstheothers in crisis Please fly me to NY
681448607,positive,@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
681448609,neutral,@VirginAmerica can you please get me to the new york area before monday afternoon
681448612,positive,"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
681448614,negative,@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
681448617,negative,@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
681448619,negative,@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ��������
681448621,positive,@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
681448623,negative,@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
681448625,negative,@VirginAmerica can�۪t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
681448628,neutral,"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
681448630,negative,"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
681448632,negative,@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
681448634,negative,"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
681448637,negative,@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
681448639,negative,@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
681448641,negative,@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
681448643,positive,@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
681448645,positive,@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
681448648,negative,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
681448650,neutral,"@VirginAmerica it�۪s just a bug report, guys"
681448652,negative,@VirginAmerica hold times at call center are a bit much
681448653,positive,@VirginAmerica Like http://t.co/VPqEm31XUQ
681448654,negative,@VirginAmerica Site down? #help
681448656,positive,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
681448658,positive,"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
681448660,positive,@VirginAmerica thanks so much!
681448663,negative,"@VirginAmerica Trying to reset my password, email never arrives. Help?"
681448665,positive,"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
681448667,positive,@VirginAmerica Very nicely done. _�ԏ
681448669,positive,@VirginAmerica I�۪m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! 
681448671,negative,@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
681448673,negative,"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
681448676,positive,@VirginAmerica hahaha _���@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!_���
681448679,positive,@VirginAmerica sounds like fun !
681448683,neutral,@VirginAmerica any updates on flight 413 from Jfk &gt
681448685,neutral,@virginamerica spruce moose!
681448688,negative,"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
681448690,negative,"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
681448692,positive,"@VirginAmerica classiq, luv Virgin America. Greetingz"
681448694,negative,"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
681448696,positive,@VirginAmerica Thanks for your great customer service today &amp
681448699,positive,@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
681448701,positive,@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
681448704,negative,"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
681448706,negative,@VirginAmerica current bug on website shows ���select departure city�۪ when selecting destination city http://t.co/SLLYIBE2vQ
681448707,negative,@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
681448709,positive,"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
681448711,neutral,"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
681448713,positive,@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight_ٍ�#sfo
681448715,neutral,"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
681448717,neutral,@VirginAmerica any plans to start flying direct from DAL to LAS?
681448720,neutral,@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
681448722,positive,"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
681448724,negative,@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member_���
681448726,neutral,@VirginAmerica Grand Budapest Hotel #OscarsCountdown
681448728,neutral,@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.
681448730,negative,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
681448732,negative,@VirginAmerica there is something wrong with you website in Safari iPhone
681448735,positive,@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
681448737,negative,@VirginAmerica Already checked in so the page expired :X
681448739,negative,@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
681448741,neutral,@VirginAmerica shares rise on Q4 financial results - USA TODAY http://t.co/lFS4PEFE6y
681448743,neutral,@VirginAmerica Adds Pillows Instead of Lie-Flat Seats in First Class Arms Race http://t.co/rGYwJBbhm4
681448745,positive,@VirginAmerica I see what you did there 
681448749,neutral,@VirginAmerica way to take advantage of #MayweatherPacquiao :)
681448751,neutral,@VirginAmerica you know I'm flying virgin for the fight #MayweatherPacquiao
681448753,positive,@VirginAmerica your inflight team makes the experience #amazing!
681448755,positive,@VirginAmerica cutest salt and pepper shaker ever. Just when I think you guys can't get any better you just do! http://t.co/vC6Keulg2J
681448757,negative,"@VirginAmerica moved my seat with no notice. ""Better seat"" is cabin select not behind the row I selected_��_ #DISAPPOINTED"
681448759,neutral,@VirginAmerica shares up on 4Q results - @iol http://t.co/XZ6qeG3nef
681448761,positive,@VirginAmerica fav airline
681448763,positive,@VirginAmerica we have a hot female pilot! Sweet! DCA to SFO! :-)
681448764,neutral,_�ԍ_�ԍ�������_��� When are you guys going to start flying to Paris? @VirginAmerica: @LizaUtter You're welcome.�۝
681448765,neutral,@VirginAmerica what is your policy on flying after surgery?  I am still waiting for answer so I can tell me doctor.
681448766,negative,@VirginAmerica already contacted Central Baggage &amp
681448767,positive,@VirginAmerica Thank you!!
681448768,negative,@VirginAmerica Is there anything going on with the website? I've been getting a lot of errors past 30 minutes.
681448769,neutral,@VirginAmerica I think i left something on the plane yesterday. who do i call...ah!
681448770,neutral,@VirginAmerica I need you to follow back in order to DM.
681448771,neutral,@VirginAmerica Need to start flying to @KCIAirport .  _��__���_���_���
681448772,neutral,@VirginAmerica they told to check with the airline regulation first so that is why I contacted you.
681448773,negative,@VirginAmerica @VirginAtlantic I have just checked in flight to SFO from LAX &amp
681448774,negative,@VirginAmerica husband and I ordered three drinks via my screen and they never came. Awesome!
